_id,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
617c524c48c3f71421d69498,2021-10-27,2798.05,2982.3601,2798.05,2928.55,2928.55,2596923.0,2596923.0,130.5,4.664,2902.9867,"October 27, 21",0.04664
617c524c48c3f71421d69499,2021-10-26,2812.1201,2816.55,2780.1101,2793.4399,2793.4399,1424480.0,1424480.0,-18.6802,-0.664,2796.7,"October 26, 21",-0.00664
617c524c48c3f71421d6949a,2021-10-25,2776.21,2784.116,2736.0,2775.46,2775.46,1060161.0,1060161.0,-0.75,-0.027,2765.192,"October 25, 21",-0.00027
617c524c48c3f71421d6949b,2021-10-22,2807.02,2831.1699,2743.4099,2772.5,2772.5,1517297.0,1517297.0,-34.52,-1.23,2782.35993,"October 22, 21",-0.0123
617c524c48c3f71421d6949c,2021-10-21,2843.8401,2856.99,2832.74,2855.6101,2855.6101,745801.0,745801.0,11.77,0.414,2848.4467,"October 21, 21",0.00414
617c524c48c3f71421d6949d,2021-10-20,2884.45,2884.9551,2838.24,2848.3,2848.3,897224.0,897224.0,-36.15,-1.253,2857.16503,"October 20, 21",-0.01253
617c524c48c3f71421d6949e,2021-10-19,2865.8301,2882.1399,2861.9199,2876.4399,2876.4399,768206.0,768206.0,10.6098,0.37,2873.4999,"October 19, 21",0.0037
617c524c48c3f71421d6949f,2021-10-18,2824.27,2859.9751,2824.27,2859.21,2859.21,789660.0,789660.0,34.94,1.237,2847.81837,"October 18, 21",0.01237
617c524c48c3f71421d694a0,2021-10-15,2844.0,2844.0,2821.29,2833.5,2833.5,1072168.0,1072168.0,-10.5,-0.369,2832.93,"October 15, 21",-0.00369
617c524c48c3f71421d694a1,2021-10-14,2799.04,2833.0,2786.78,2828.24,2828.24,1079443.0,1079443.0,29.2,1.043,2816.00667,"October 14, 21",0.01043
617c524c48c3f71421d694a2,2021-10-13,2755.0,2771.0,2739.53,2758.0,2758.0,827439.0,827439.0,3.0,0.109,2756.17667,"October 13, 21",0.00109
617c524c48c3f71421d694a3,2021-10-12,2792.75,2793.8999,2725.0,2734.26,2734.26,1117539.0,1117539.0,-58.49,-2.094,2751.0533,"October 12, 21",-0.02094
617c524c48c3f71421d694a4,2021-10-11,2796.0,2815.2725,2776.1299,2776.95,2776.95,830759.0,830759.0,-19.05,-0.681,2789.4508,"October 11, 21",-0.00681
617c524c48c3f71421d694a5,2021-10-08,2798.1201,2806.1499,2789.3606,2801.1201,2801.1201,946773.0,946773.0,3.0,0.107,2798.87687,"October 08, 21",0.00107
617c524c48c3f71421d694a6,2021-10-07,2777.26,2803.0891,2771.3201,2783.71,2783.71,905152.0,905152.0,6.45,0.232,2786.03973,"October 07, 21",0.00232
617c524c48c3f71421d694a7,2021-10-06,2692.51,2757.0,2689.9365,2747.0801,2747.0801,991976.0,991976.0,54.5701,2.027,2731.33887,"October 06, 21",0.02027
617c524c48c3f71421d694a8,2021-10-05,2680.0,2747.21,2680.0,2723.54,2723.54,1216588.0,1216588.0,43.54,1.625,2716.91667,"October 05, 21",0.01625
617c524c48c3f71421d694a9,2021-10-04,2713.99,2714.0,2623.3301,2675.3,2675.3,1581708.0,1581708.0,-38.69,-1.426,2670.8767,"October 04, 21",-0.01426
617c524c48c3f71421d694aa,2021-10-01,2671.09,2741.42,2667.7,2729.25,2729.25,1426134.0,1426134.0,58.16,2.177,2712.79,"October 01, 21",0.02177
617c524c48c3f71421d694ab,2021-09-30,2686.5,2711.61,2660.0,2665.31,2665.31,1778571.0,1778571.0,-21.19,-0.789,2678.97333,"September 30, 21",-0.00789
617c524c48c3f71421d694ac,2021-09-29,2742.19,2747.75,2685.0,2690.42,2690.42,1318882.0,1318882.0,-51.77,-1.888,2707.72333,"September 29, 21",-0.01888
617c524c48c3f71421d694ad,2021-09-28,2781.77,2791.43,2714.0,2723.68,2723.68,2112135.0,2112135.0,-58.09,-2.088,2743.03667,"September 28, 21",-0.02088
617c524c48c3f71421d694ae,2021-09-27,2831.71,2850.0,2810.0,2830.02,2830.02,951360.0,951360.0,-1.69,-0.06,2830.00667,"September 27, 21",-0.0006
617c524c48c3f71421d694af,2021-09-24,2818.92,2858.07,2818.4,2852.66,2852.66,750841.0,750841.0,33.74,1.197,2843.04333,"September 24, 21",0.01197
617c524c48c3f71421d694b0,2021-09-23,2832.19,2845.05,2821.93,2836.53,2836.53,864607.0,864607.0,4.34,0.153,2834.50333,"September 23, 21",0.00153
617c524c48c3f71421d694b1,2021-09-22,2801.01,2831.67,2789.76,2818.77,2818.77,1109240.0,1109240.0,17.76,0.634,2813.4,"September 22, 21",0.00634
617c524c48c3f71421d694b2,2021-09-21,2802.34,2815.34,2778.45,2792.93,2792.93,907744.0,907744.0,-9.41,-0.336,2795.57333,"September 21, 21",-0.00336
617c524c48c3f71421d694b3,2021-09-20,2780.0,2787.25,2741.46,2780.34,2780.34,1752415.0,1752415.0,0.34,0.012,2769.68333,"September 20, 21",0.00012
617c524c48c3f71421d694b4,2021-09-17,2875.97,2884.99,2821.23,2829.27,2829.27,2942718.0,2942718.0,-46.7,-1.624,2845.16333,"September 17, 21",-0.01624
617c524c48c3f71421d694b5,2021-09-16,2902.42,2904.0,2869.66,2887.47,2887.47,1025063.0,1025063.0,-14.95,-0.515,2887.04333,"September 16, 21",-0.00515
617c524c48c3f71421d694b6,2021-09-15,2875.18,2911.63,2845.37,2904.12,2904.12,1029778.0,1029778.0,28.94,1.007,2887.04,"September 15, 21",0.01007
617c524c48c3f71421d694b7,2021-09-14,2883.22,2894.55,2858.11,2868.12,2868.12,936922.0,936922.0,-15.1,-0.524,2873.59333,"September 14, 21",-0.00524
617c524c48c3f71421d694b8,2021-09-13,2864.02,2883.0,2845.65,2869.3,2869.3,1009836.0,1009836.0,5.28,0.184,2865.98333,"September 13, 21",0.00184
617c524c48c3f71421d694b9,2021-09-10,2908.87,2920.27,2834.83,2838.42,2838.42,1659279.0,1659279.0,-70.45,-2.422,2864.50667,"September 10, 21",-0.02422
617c524c48c3f71421d694ba,2021-09-09,2897.67,2913.22,2888.68,2898.27,2898.27,701244.0,701244.0,0.6,0.021,2900.05667,"September 09, 21",0.00021
617c524c48c3f71421d694bb,2021-09-08,2907.87,2911.02,2884.46,2897.67,2897.67,756108.0,756108.0,-10.2,-0.351,2897.71667,"September 08, 21",-0.00351
617c524c48c3f71421d694bc,2021-09-07,2894.99,2916.48,2891.34,2910.38,2910.38,760660.0,760660.0,15.39,0.532,2906.06667,"September 07, 21",0.00532
617c524c48c3f71421d694bd,2021-09-03,2882.92,2907.54,2870.1,2895.5,2895.5,959958.0,959958.0,12.58,0.436,2891.04667,"September 03, 21",0.00436
617c524c48c3f71421d694be,2021-09-02,2918.99,2926.5,2882.13,2884.38,2884.38,1071488.0,1071488.0,-34.61,-1.186,2897.67,"September 02, 21",-0.01186
617c524c48c3f71421d694bf,2021-09-01,2913.0,2936.41,2912.29,2916.84,2916.84,797867.0,797867.0,3.84,0.132,2921.84667,"September 01, 21",0.00132
617c524c48c3f71421d694c0,2021-08-31,2917.69,2922.24,2900.0,2909.24,2909.24,1343910.0,1343910.0,-8.45,-0.29,2910.49333,"August 31, 21",-0.0029
617c524c48c3f71421d694c1,2021-08-30,2894.09,2929.79,2892.51,2909.39,2909.39,846326.0,846326.0,15.3,0.529,2910.56333,"August 30, 21",0.00529
617c524c48c3f71421d694c2,2021-08-27,2842.25,2900.22,2840.47,2891.01,2891.01,1239159.0,1239159.0,48.76,1.716,2877.23333,"August 27, 21",0.01716
617c524c48c3f71421d694c3,2021-08-26,2852.37,2862.67,2841.83,2842.46,2842.46,748459.0,748459.0,-9.91,-0.347,2848.98667,"August 26, 21",-0.00347
617c524c48c3f71421d694c4,2021-08-25,2857.66,2866.26,2849.12,2859.0,2859.0,644517.0,644517.0,1.34,0.047,2858.12667,"August 25, 21",0.00047
617c524c48c3f71421d694c5,2021-08-24,2830.87,2860.0,2827.3,2847.97,2847.97,757960.0,757960.0,17.1,0.604,2845.09,"August 24, 21",0.00604
617c524c48c3f71421d694c6,2021-08-23,2779.97,2843.54,2775.1,2821.99,2821.99,1064725.0,1064725.0,42.02,1.512,2813.54333,"August 23, 21",0.01512
617c524c48c3f71421d694c7,2021-08-20,2741.66,2771.85,2729.34,2768.74,2768.74,779947.0,779947.0,27.08,0.988,2756.64333,"August 20, 21",0.00988
617c524c48c3f71421d694c8,2021-08-19,2709.35,2748.93,2707.12,2738.27,2738.27,921409.0,921409.0,28.92,1.067,2731.44,"August 19, 21",0.01067
617c524c48c3f71421d694c9,2021-08-18,2742.31,2765.88,2728.42,2731.4,2731.4,752650.0,752650.0,-10.91,-0.398,2741.9,"August 18, 21",-0.00398
617c524c48c3f71421d694ca,2021-08-17,2763.82,2774.37,2736.42,2746.01,2746.01,1070579.0,1070579.0,-17.81,-0.644,2752.26667,"August 17, 21",-0.00644
617c524c48c3f71421d694cb,2021-08-16,2760.0,2779.81,2723.31,2778.32,2778.32,910210.0,910210.0,18.32,0.664,2760.48,"August 16, 21",0.00664
617c524c48c3f71421d694cc,2021-08-13,2767.15,2773.48,2760.1,2768.12,2768.12,617842.0,617842.0,0.97,0.035,2767.23333,"August 13, 21",0.00035
617c524c48c3f71421d694cd,2021-08-12,2754.26,2768.36,2735.58,2767.79,2767.79,734516.0,734516.0,13.53,0.491,2757.24333,"August 12, 21",0.00491
617c524c48c3f71421d694ce,2021-08-11,2765.66,2776.96,2747.0,2753.79,2753.79,760638.0,760638.0,-11.87,-0.429,2759.25,"August 11, 21",-0.00429
617c524c48c3f71421d694cf,2021-08-10,2761.59,2771.03,2744.53,2761.93,2761.93,775912.0,775912.0,0.34,0.012,2759.16333,"August 10, 21",0.00012
617c524c48c3f71421d694d0,2021-08-09,2738.98,2766.02,2728.61,2760.04,2760.04,605516.0,605516.0,21.06,0.769,2751.55667,"August 09, 21",0.00769
617c524c48c3f71421d694d1,2021-08-06,2725.9,2741.6,2720.93,2740.72,2740.72,669695.0,669695.0,14.82,0.544,2734.41667,"August 06, 21",0.00544
617c524c48c3f71421d694d2,2021-08-05,2720.57,2739.0,2712.02,2738.8,2738.8,565578.0,565578.0,18.23,0.67,2729.94,"August 05, 21",0.0067
