_id,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
617c525b48c3f71421d6a844,2021-10-27,244.74,250.9,242.8201,244.51,244.51,24158521.0,24158521.0,-0.23,-0.094,246.0767,"October 27, 21",-0.00094
617c525b48c3f71421d6a845,2021-10-26,239.89,252.59,239.25,247.17,247.17,47820062.0,47820062.0,7.28,3.035,246.33667,"October 26, 21",0.03035
617c525b48c3f71421d6a846,2021-10-25,229.73,233.54,227.702,231.66,231.66,22065296.0,22065296.0,1.93,0.84,230.96733,"October 25, 21",0.0084
617c525b48c3f71421d6a847,2021-10-22,228.23,231.3,225.61,227.26,227.26,24918502.0,24918502.0,-0.97,-0.425,228.05667,"October 22, 21",-0.00425
617c525b48c3f71421d6a848,2021-10-21,220.97,227.11,220.83,226.92,226.92,18698639.0,18698639.0,5.95,2.693,224.95333,"October 21, 21",0.02693
617c525b48c3f71421d6a849,2021-10-20,223.045,224.33,219.82,221.03,221.03,14686896.0,14686896.0,-2.015,-0.903,221.72667,"October 20, 21",-0.00903
617c525b48c3f71421d6a84a,2021-10-19,222.76,223.78,220.37,222.9,222.9,15932394.0,15932394.0,0.14,0.063,222.35,"October 19, 21",0.00063
617c525b48c3f71421d6a84b,2021-10-18,217.49,222.9,216.452,222.22,222.22,18654359.0,18654359.0,4.73,2.175,220.524,"October 18, 21",0.02175
617c525b48c3f71421d6a84c,2021-10-15,218.1,219.3,216.62,218.62,218.62,22567443.0,22567443.0,0.52,0.238,218.18,"October 15, 21",0.00238
617c525b48c3f71421d6a84d,2021-10-14,212.88,217.55,211.2201,217.46,217.46,24176644.0,24176644.0,4.58,2.151,215.41003,"October 14, 21",0.02151
617c525b48c3f71421d6a84e,2021-10-13,209.18,209.9,207.13,209.39,209.39,17082277.0,17082277.0,0.21,0.1,208.80667,"October 13, 21",0.001
617c525b48c3f71421d6a84f,2021-10-12,208.275,210.57,205.28,206.71,206.71,15941420.0,15941420.0,-1.565,-0.751,207.52,"October 12, 21",-0.00751
617c525b48c3f71421d6a850,2021-10-11,205.75,210.63,205.11,206.95,206.95,16390449.0,16390449.0,1.2,0.583,207.56333,"October 11, 21",0.00583
617c525b48c3f71421d6a851,2021-10-08,211.01,212.06,207.75,208.31,208.31,14712398.0,14712398.0,-2.7,-1.28,209.37333,"October 08, 21",-0.0128
617c525b48c3f71421d6a852,2021-10-07,210.92,213.21,209.72,210.75,210.75,25478737.0,25478737.0,-0.17,-0.081,211.22667,"October 07, 21",-0.00081
617c525b48c3f71421d6a853,2021-10-06,201.2,207.2,200.8,207.0,207.0,29759909.0,29759909.0,5.8,2.883,205.0,"October 06, 21",0.02883
617c525b48c3f71421d6a854,2021-10-05,199.5,206.48,198.54,204.51,204.51,27988271.0,27988271.0,5.01,2.511,203.17667,"October 05, 21",0.02511
617c525b48c3f71421d6a855,2021-10-04,205.04,205.42,195.55,197.32,197.32,34657619.0,34657619.0,-7.72,-3.765,199.43,"October 04, 21",-0.03765
617c525b48c3f71421d6a856,2021-10-01,207.5,208.58,202.03,207.42,207.42,23904107.0,23904107.0,-0.08,-0.039,206.01,"October 01, 21",-0.00039
617c525b48c3f71421d6a857,2021-09-30,207.68,210.66,206.88,207.16,207.16,21677168.0,21677168.0,-0.52,-0.25,208.23333,"September 30, 21",-0.0025
617c525b48c3f71421d6a858,2021-09-29,209.4,210.17,204.67,205.17,205.17,21810633.0,21810633.0,-4.23,-2.02,206.67,"September 29, 21",-0.0202
617c525b48c3f71421d6a859,2021-09-28,212.14,214.1,206.51,206.99,206.99,33796316.0,33796316.0,-5.15,-2.428,209.2,"September 28, 21",-0.02428
617c525b48c3f71421d6a85a,2021-09-27,217.1,217.99,213.26,216.6,216.6,24087164.0,24087164.0,-0.5,-0.23,215.95,"September 27, 21",-0.0023
617c525b48c3f71421d6a85b,2021-09-24,220.7,221.49,218.61,220.81,220.81,20185229.0,20185229.0,0.11,0.05,220.30333,"September 24, 21",0.0005
617c525b48c3f71421d6a85c,2021-09-23,221.4,225.35,218.9,224.82,224.82,24942584.0,24942584.0,3.42,1.545,223.02333,"September 23, 21",0.01545
617c525b48c3f71421d6a85d,2021-09-22,213.66,219.6,211.96,219.41,219.41,26924140.0,26924140.0,5.75,2.691,216.99,"September 22, 21",0.02691
617c525b48c3f71421d6a85e,2021-09-21,214.17,214.25,209.5,212.46,212.46,20245584.0,20245584.0,-1.71,-0.798,212.07,"September 21, 21",-0.00798
617c525b48c3f71421d6a85f,2021-09-20,211.46,214.33,206.63,211.13,211.13,34000724.0,34000724.0,-0.33,-0.156,210.69667,"September 20, 21",-0.00156
617c525b48c3f71421d6a860,2021-09-17,223.0,223.21,218.3,219.0,219.0,29202077.0,29202077.0,-4.0,-1.794,220.17,"September 17, 21",-0.01794
617c525b48c3f71421d6a861,2021-09-16,221.83,222.75,219.28,222.42,222.42,15441536.0,15441536.0,0.59,0.266,221.48333,"September 16, 21",0.00266
617c525b48c3f71421d6a862,2021-09-15,223.09,223.67,219.68,223.41,223.41,16251138.0,16251138.0,0.32,0.143,222.25333,"September 15, 21",0.00143
617c525b48c3f71421d6a863,2021-09-14,222.75,224.1,220.89,222.42,222.42,19913866.0,19913866.0,-0.33,-0.148,222.47,"September 14, 21",-0.00148
617c525b48c3f71421d6a864,2021-09-13,226.84,229.64,218.58,221.52,221.52,29140924.0,29140924.0,-5.32,-2.345,223.24667,"September 13, 21",-0.02345
617c525b48c3f71421d6a865,2021-09-10,223.48,226.26,222.73,224.78,224.78,24725519.0,24725519.0,1.3,0.582,224.59,"September 10, 21",0.00582
617c525b48c3f71421d6a866,2021-09-09,223.12,225.38,221.32,221.77,221.77,19485658.0,19485658.0,-1.35,-0.605,222.82333,"September 09, 21",-0.00605
